Country,State,City/Station,WMO,Source Data,Latitude (N+/S-),Longitude (E+/W-),Time Zone (GMT +/-),Elevation (m),URL
CHE,UR,Gutsch.ob.Andermatt,67500,SRC-TMYx,46.6525,8.615,1,2284.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/UR_Uri/CHE_UR_Gutsch.ob.Andermatt.067500_TMYx.2009-2023.zip
CHE,VD,Biere,67040,SRC-TMYx,46.525,6.3425,1,684.7,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VD_Vaud/CHE_VD_Biere.067040_TMYx.2009-2023.zip
CHE,VD,Bullet.La.Fretaz,66190,SRC-TMYx,46.8405,6.5764,1,1206.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VD_Vaud/CHE_VD_Bullet.La.Fretaz.066190_TMYx.2009-2023.zip
CHE,VD,Charbonnieres,67030,SRC-TMYx,46.6703,6.3125,1,1045.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VD_Vaud/CHE_VD_Charbonnieres.067030_TMYx.2009-2023.zip
CHE,VD,Chateau.d-Oex,66270,SRC-TMYx,46.4797,7.1397,1,1030.1,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VD_Vaud/CHE_VD_Chateau.d-Oex.066270_TMYx.2009-2023.zip
CHE,VD,La.Dole,67020,SRC-TMYx,46.4247,6.0994,1,1670.2,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VD_Vaud/CHE_VD_La.Dole.067020_TMYx.2009-2023.zip
CHE,VD,Lausanne-Pully,67110,SRC-TMYx,46.5122,6.6675,1,456.5,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VD_Vaud/CHE_VD_Lausanne-Pully.067110_TMYx.2009-2023.zip
CHE,VD,Les.Diablerets,67140,SRC-TMYx,46.3267,7.2039,1,2964.3,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VD_Vaud/CHE_VD_Les.Diablerets.067140_TMYx.2009-2023.zip
CHE,VD,Mathod,66180,SRC-TMYx,46.7369,6.5681,1,437.4,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VD_Vaud/CHE_VD_Mathod.066180_TMYx.2009-2023.zip
CHE,VD,Nyon.Changins,67050,SRC-TMYx,46.4011,6.2278,1,459.5,https://climate.onebuilding.org/WMO_Region_6_Europe/CHE_Switzerland/VD_Vaud/CHE_VD_Nyon.Changins.067050_TMYx.2009-2023.zip
