,Solar thermal,Wood,Heating oil,Energy sources for heat pump,Others,Gas,None,District heating,Electricity,KANTONSNUM
Schwadernau,0,0,8,5,0,0,0,0,0,2
Studen (BE),0,0,13,7,0,0,0,0,0,2
Sutz-Lattrigen,0,1,17,8,0,0,0,1,2,2
Täuffelen,0,1,12,17,0,0,0,0,0,2
Walperswil,0,2,18,6,0,0,0,0,0,2
Worben,0,1,14,9,0,0,0,1,0,2
Twann-Tüscherz,0,2,4,4,1,1,0,0,4,2
Därstetten,0,4,6,3,0,0,0,0,0,2
Diemtigen,0,7,10,1,0,0,0,0,0,2
Erlenbach im Simmental,1,10,11,9,0,0,0,0,1,2
Oberwil im Simmental,0,3,2,0,0,0,0,0,0,2
Reutigen,0,2,6,1,0,0,0,13,0,2
Spiez,0,8,111,38,0,0,0,0,1,2
Wimmis,0,3,8,8,0,0,0,8,0,2
Stocken-Höfen,0,6,19,4,0,0,0,0,0,2
Guttannen,0,3,2,1,0,0,0,0,1,2
Hasliberg,0,9,19,2,0,0,0,0,0,2
Innertkirchen,0,6,8,5,0,0,0,0,0,2
Meiringen,0,11,40,24,0,1,0,2,0,2
Schattenhalb,0,0,3,0,0,0,0,0,1,2
Boltigen,0,9,5,2,0,0,0,2,0,2
Lenk,0,14,25,9,0,0,0,0,4,2
St. Stephan,0,10,11,1,0,0,0,0,0,2
Zweisimmen,0,10,9,6,0,0,0,1,1,2
Gsteig,0,7,5,0,0,0,0,0,0,2
Lauenen,0,3,8,0,0,0,0,0,1,2
Saanen,0,19,41,4,0,4,0,10,0,2
Guggisberg,0,9,10,10,0,0,0,1,1,2
Rüschegg,0,7,15,7,0,0,0,3,2,2
Schwarzenburg,0,16,35,37,0,0,0,9,4,2
Belp,0,17,65,17,1,2,0,2,0,2
Burgistein,0,0,3,0,0,0,0,0,0,2
Gerzensee,0,2,4,3,0,5,0,0,0,2
Gurzelen,0,1,3,0,0,0,0,0,0,2
Jaberg,0,3,23,1,0,0,0,0,0,2
Kaufdorf,0,1,13,4,0,0,0,0,0,2
Kehrsatz,0,0,4,2,0,1,0,0,0,2
Kirchdorf (BE),0,1,6,1,0,0,0,0,0,2
Niedermuhlern,0,5,2,0,0,0,0,0,0,2
Riggisberg,0,10,20,14,0,0,0,2,0,2
Rüeggisberg,0,7,6,3,0,0,0,0,0,2
Seftigen,1,1,16,21,0,0,0,0,1,2
Toffen,0,1,18,3,0,0,0,0,1,2
Uttigen,0,3,21,2,0,0,0,0,1,2
Wattenwil,1,5,19,18,0,0,0,2,0,2
Wald (BE),0,3,2,3,0,0,0,0,0,2
Thurnen,0,14,13,22,0,0,0,0,0,2
Eggiwil,0,19,1,9,0,0,0,0,1,2
Langnau im Emmental,0,14,46,46,0,1,0,0,1,2
Lauperswil,0,17,8,7,0,0,0,1,0,2
Röthenbach im Emmental,0,8,1,0,0,0,0,2,0,2
Rüderswil,0,15,17,2,1,0,0,3,0,2
Schangnau,0,1,6,0,0,0,0,0,0,2
Signau,0,7,11,4,0,0,0,0,1,2
Trub,0,10,4,1,0,0,0,0,0,2
Trubschachen,0,6,2,0,0,0,0,0,0,2
Amsoldingen,0,1,10,1,0,0,0,0,0,2
Blumenstein,0,3,8,4,0,0,0,0,0,2
Buchholterberg,1,3,6,2,0,0,0,0,0,2
Eriz,0,2,1,0,0,0,0,0,0,2
Fahrni,0,2,2,0,0,1,0,0,0,2
Heiligenschwendi,0,0,1,1,0,0,0,0,0,2
Heimberg,0,1,58,8,0,3,0,0,0,2
Hilterfingen,0,0,6,3,0,10,0,2,1,2
Homberg,0,1,3,0,0,0,0,0,0,2
Horrenbach-Buchen,0,1,0,0,0,0,0,0,0,2
Oberhofen am Thunersee,0,2,12,2,0,5,0,0,0,2
Oberlangenegg,0,1,0,0,0,0,0,0,0,2
Pohlern,0,2,3,0,0,0,0,0,0,2
Sigriswil,0,13,36,8,0,0,0,0,1,2
Steffisburg,0,7,51,24,0,61,0,35,1,2
Teuffenthal (BE),0,1,0,0,0,0,0,0,0,2
Thierachern,0,2,12,3,0,0,0,1,0,2
Thun,1,11,58,18,0,229,0,8,1,2
Uebeschi,0,2,1,7,0,0,0,0,0,2
Uetendorf,0,3,42,25,0,1,0,5,0,2
Unterlangenegg,0,2,3,1,0,0,0,0,0,2
Wachseldorn,0,2,0,0,0,0,0,0,0,2
Forst-Längenbühl,1,1,3,2,0,0,0,0,0,2
Affoltern im Emmental,1,4,5,8,0,0,0,0,0,2
Dürrenroth,0,7,1,3,0,0,0,0,0,2
Eriswil,0,6,5,5,0,0,0,1,0,2
Huttwil,0,3,20,6,0,0,0,2,0,2
Lützelflüh,0,4,26,26,0,1,0,1,1,2
Rüegsau,1,6,24,15,0,0,0,0,0,2
Sumiswald,2,8,16,7,0,0,0,10,0,2
Trachselwald,0,13,2,3,0,0,0,0,1,2
Walterswil (BE),0,4,3,0,0,0,0,0,0,2
Wyssachen,0,5,4,3,0,0,0,0,1,2
Attiswil,0,1,11,6,0,0,0,0,0,2
Berken,0,0,1,0,0,0,0,0,0,2
Bettenhausen,0,0,2,2,0,1,0,0,0,2
Farnern,0,0,3,2,0,0,0,0,0,2
Graben,0,1,1,3,0,0,0,0,0,2
Heimenhausen,0,0,14,10,0,0,0,1,0,2
Herzogenbuchsee,0,1,4,14,0,45,0,3,0,2
Inkwil,0,1,1,1,0,0,0,0,0,2
Niederbipp,0,0,26,1,0,1,0,1,0,2
Niederönz,0,1,5,6,0,13,0,0,0,2
Oberbipp,0,2,18,8,0,1,0,0,0,2
Ochlenberg,0,3,1,0,0,0,0,0,1,2
Rumisberg,0,0,4,1,0,0,0,0,0,2
Seeberg,0,6,6,12,0,0,0,0,2,2
Thörigen,0,1,4,7,0,2,0,0,1,2
Walliswil bei Niederbipp,0,1,3,1,0,0,0,0,1,2
Walliswil bei Wangen,0,0,3,2,0,0,0,0,0,2
Wangen an der Aare,0,1,12,4,0,0,0,0,0,2
Wiedlisbach,0,0,34,7,0,0,0,1,2,2
Doppleschwand,0,1,10,10,0,0,0,0,0,3
Entlebuch,0,16,15,14,0,0,0,15,0,3
Flühli,0,9,25,7,0,0,0,0,0,3
Hasle (LU),0,9,8,14,0,0,0,1,4,3
Romoos,0,2,3,0,0,0,0,3,0,3
Schüpfheim,0,17,14,23,0,0,0,0,1,3
Werthenstein,0,12,6,2,0,0,1,4,0,3
